id,experiment_type,target_container,start_time,end_time,parameters,notes
17,cpu_stress,sentinel-payment-1,2026-07-24 03:07:30.73292+00,2026-07-24 03:09:38.496894+00,"{""duration_seconds"": 90}",
18,container_kill,sentinel-catalogue-1,2026-07-24 04:06:53.679026+00,2026-07-24 04:07:04.785579+00,{},
19,packet_loss,sentinel-shipping-1,2026-07-24 05:35:49.020245+00,2026-07-24 05:37:36.551091+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
20,packet_loss,sentinel-orders-1,2026-07-24 06:24:47.862093+00,2026-07-24 06:26:23.013292+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
21,network_delay,sentinel-catalogue-1,2026-07-24 07:26:58.328214+00,2026-07-24 07:28:33.529013+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
22,network_delay,sentinel-carts-1,2026-07-24 08:08:05.690715+00,2026-07-24 08:09:43.930508+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
23,container_kill,sentinel-front-end-1,2026-07-24 09:09:53.897227+00,2026-07-24 09:10:43.373597+00,{},
24,container_kill,sentinel-payment-1,2026-07-24 10:06:29.157248+00,2026-07-24 10:06:41.649632+00,{},
25,network_delay,sentinel-payment-1,2026-07-24 11:16:57.90067+00,2026-07-24 11:18:34.612699+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
26,cpu_stress,sentinel-front-end-1,2026-07-24 12:29:01.897246+00,2026-07-24 12:30:56.803023+00,"{""duration_seconds"": 90}",
27,container_kill,sentinel-payment-1,2026-07-24 13:50:45.51029+00,2026-07-24 13:51:14.056491+00,{},
28,container_kill,sentinel-orders-1,2026-07-24 15:01:21.181598+00,2026-07-24 15:01:36.069456+00,{},
29,network_delay,sentinel-orders-1,2026-07-24 16:03:59.274104+00,2026-07-24 16:06:29.336314+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
30,container_kill,sentinel-payment-1,2026-07-24 17:22:54.720092+00,2026-07-24 17:23:10.096997+00,{},
31,network_delay,sentinel-front-end-1,2026-07-24 17:57:36.837732+00,2026-07-24 17:59:51.447349+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
32,network_delay,sentinel-carts-1,2026-07-24 18:32:22.742418+00,2026-07-24 18:34:21.485854+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
33,cpu_stress,sentinel-shipping-1,2026-07-24 19:52:54.492246+00,2026-07-24 19:54:33.524086+00,"{""duration_seconds"": 90}",
34,cpu_stress,sentinel-carts-1,2026-07-24 20:34:48.097118+00,2026-07-24 20:36:30.296583+00,"{""duration_seconds"": 90}",
35,cpu_stress,sentinel-payment-1,2026-07-24 21:15:29.66466+00,2026-07-24 21:17:03.596668+00,"{""duration_seconds"": 90}",
36,container_kill,sentinel-catalogue-1,2026-07-24 21:47:49.041564+00,2026-07-24 21:48:08.655639+00,{},
37,container_kill,sentinel-orders-1,2026-07-24 22:53:33.200263+00,2026-07-24 22:53:47.488441+00,{},
38,network_delay,sentinel-catalogue-1,2026-07-25 00:03:52.38797+00,2026-07-25 00:05:27.578886+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
39,packet_loss,sentinel-carts-1,2026-07-25 01:19:23.320613+00,2026-07-25 01:21:01.53823+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
40,network_delay,sentinel-orders-1,2026-07-25 02:10:21.269134+00,2026-07-25 02:12:19.465075+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
74,cpu_stress,sentinel-front-end-1,2026-07-25 03:32:49.130827+00,2026-07-25 03:34:23.858823+00,"{""duration_seconds"": 90}",
75,network_delay,sentinel-carts-1,2026-07-25 04:37:27.181671+00,2026-07-25 04:39:03.0474+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
76,cpu_stress,sentinel-catalogue-1,2026-07-25 05:34:30.300718+00,2026-07-25 05:36:04.252432+00,"{""duration_seconds"": 90}",
77,cpu_stress,sentinel-carts-1,2026-07-25 06:49:11.911104+00,2026-07-25 06:51:29.916202+00,"{""duration_seconds"": 90}",
78,network_delay,sentinel-shipping-1,2026-07-25 07:47:58.100463+00,2026-07-25 07:49:37.591375+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
79,network_delay,sentinel-carts-1,2026-07-25 08:44:51.190773+00,2026-07-25 08:46:31.73585+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
80,cpu_stress,sentinel-payment-1,2026-07-25 10:03:55.38503+00,2026-07-25 10:05:49.36869+00,"{""duration_seconds"": 90}",
81,packet_loss,sentinel-shipping-1,2026-07-25 11:21:54.219099+00,2026-07-25 11:23:30.000728+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
82,network_delay,sentinel-carts-1,2026-07-25 11:55:31.148467+00,2026-07-25 11:57:17.841625+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
83,cpu_stress,sentinel-orders-1,2026-07-25 12:44:03.114362+00,2026-07-25 12:45:48.92268+00,"{""duration_seconds"": 90}",
84,container_kill,sentinel-carts-1,2026-07-25 13:36:26.531428+00,2026-07-25 13:36:41.463566+00,{},
85,cpu_stress,sentinel-front-end-1,2026-07-25 14:21:02.754426+00,2026-07-25 14:23:03.376726+00,"{""duration_seconds"": 90}",
86,network_delay,sentinel-carts-1,2026-07-25 15:13:04.72651+00,2026-07-25 15:14:40.047322+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
87,packet_loss,sentinel-catalogue-1,2026-07-25 15:56:25.896033+00,2026-07-25 15:58:21.544868+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
88,cpu_stress,sentinel-payment-1,2026-07-25 16:56:05.045261+00,2026-07-25 16:58:06.235615+00,"{""duration_seconds"": 90}",
89,container_kill,sentinel-payment-1,2026-07-25 17:38:02.431057+00,2026-07-25 17:38:16.933403+00,{},
90,network_delay,sentinel-front-end-1,2026-07-25 18:41:17.874119+00,2026-07-25 18:42:53.252187+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
91,container_kill,sentinel-catalogue-1,2026-07-25 19:34:59.296684+00,2026-07-25 19:35:27.283702+00,{},
92,network_delay,sentinel-catalogue-1,2026-07-25 20:54:25.02853+00,2026-07-25 20:56:00.196879+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
41,cpu_stress,sentinel-front-end-1,2026-07-25 03:31:12.367141+00,2026-07-25 03:32:42.367141+00,"{""duration_seconds"": 90}",
152,container_kill,sentinel-payment-1,2026-08-04 15:54:20.466123+00,2026-08-04 15:54:31.787267+00,{},
93,packet_loss,sentinel-payment-1,2026-07-25 21:45:42.410674+00,2026-07-25 21:47:20.440546+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
94,container_kill,sentinel-catalogue-1,2026-07-25 22:22:25.182168+00,2026-07-25 22:22:48.655081+00,{},
95,container_kill,sentinel-front-end-1,2026-07-25 23:29:00.809233+00,2026-07-25 23:29:20.646516+00,{},
96,cpu_stress,sentinel-carts-1,2026-07-26 00:03:10.48214+00,2026-07-26 00:04:52.057891+00,"{""duration_seconds"": 90}",
97,container_kill,sentinel-catalogue-1,2026-07-26 00:41:04.176068+00,2026-07-26 00:41:21.838585+00,{},
98,container_kill,sentinel-orders-1,2026-07-26 01:21:07.739167+00,2026-07-26 01:21:31.994804+00,{},
99,network_delay,sentinel-catalogue-1,2026-07-26 02:44:54.335962+00,2026-07-26 02:46:29.391273+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
100,cpu_stress,sentinel-payment-1,2026-07-26 03:29:47.606507+00,2026-07-26 03:31:18.963398+00,"{""duration_seconds"": 90}",
101,packet_loss,sentinel-catalogue-1,2026-07-26 04:51:53.345466+00,2026-07-26 04:53:28.464025+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
102,container_kill,sentinel-payment-1,2026-07-26 06:01:10.323833+00,2026-07-26 06:01:26.3711+00,{},
103,cpu_stress,sentinel-shipping-1,2026-07-26 06:37:15.901498+00,2026-07-26 06:38:50.741182+00,"{""duration_seconds"": 90}",
104,cpu_stress,sentinel-shipping-1,2026-07-26 08:01:07.361456+00,2026-07-26 08:03:02.962241+00,"{""duration_seconds"": 90}",
105,network_delay,sentinel-payment-1,2026-07-26 08:52:07.21946+00,2026-07-26 08:54:10.538508+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
106,packet_loss,sentinel-catalogue-1,2026-07-26 10:14:17.760482+00,2026-07-26 10:16:04.99622+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
107,cpu_stress,sentinel-orders-1,2026-07-26 10:53:44.132946+00,2026-07-26 10:55:22.125145+00,"{""duration_seconds"": 90}",
108,cpu_stress,sentinel-payment-1,2026-07-26 11:47:26.532926+00,2026-07-26 11:48:59.397137+00,"{""duration_seconds"": 90}",
109,packet_loss,sentinel-front-end-1,2026-07-26 13:03:38.76609+00,2026-07-26 13:05:22.331136+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
110,cpu_stress,sentinel-catalogue-1,2026-07-26 13:51:05.16733+00,2026-07-26 13:53:11.823182+00,"{""duration_seconds"": 90}",
111,network_delay,sentinel-catalogue-1,2026-07-26 15:03:19.012839+00,2026-07-26 15:05:16.668304+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
112,container_kill,sentinel-shipping-1,2026-07-26 15:37:12.585495+00,2026-07-26 15:37:27.637763+00,{},
113,cpu_stress,sentinel-carts-1,2026-07-26 16:26:33.100067+00,2026-07-26 16:28:24.013064+00,"{""duration_seconds"": 90}",
114,cpu_stress,sentinel-front-end-1,2026-07-26 17:13:58.356094+00,2026-07-26 17:15:35.311597+00,"{""duration_seconds"": 90}",
115,network_delay,sentinel-orders-1,2026-07-26 18:42:27.087372+00,2026-07-26 18:44:02.640339+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
116,container_kill,sentinel-shipping-1,2026-07-26 19:37:04.320892+00,2026-07-26 19:37:42.761257+00,{},
117,cpu_stress,sentinel-catalogue-1,2026-07-26 20:24:56.43552+00,2026-07-26 20:26:43.819212+00,"{""duration_seconds"": 90}",
118,packet_loss,sentinel-payment-1,2026-07-26 21:45:29.231848+00,2026-07-26 21:47:04.29431+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
119,packet_loss,sentinel-carts-1,2026-07-26 22:51:44.93959+00,2026-07-26 22:53:33.937596+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
120,cpu_stress,sentinel-carts-1,2026-07-26 23:50:08.999241+00,2026-07-26 23:52:14.448482+00,"{""duration_seconds"": 90}",
121,packet_loss,sentinel-shipping-1,2026-07-27 00:52:56.747946+00,2026-07-27 00:54:45.766256+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
122,container_kill,sentinel-orders-1,2026-07-27 02:00:20.643046+00,2026-07-27 02:01:02.80659+00,{},
123,packet_loss,sentinel-payment-1,2026-07-27 03:24:28.372381+00,2026-07-27 03:26:20.755905+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
124,packet_loss,sentinel-orders-1,2026-07-27 04:05:20.037538+00,2026-07-27 04:07:34.553941+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
125,packet_loss,sentinel-carts-1,2026-07-27 04:43:47.077714+00,2026-07-27 04:45:34.004244+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
126,network_delay,sentinel-shipping-1,2026-07-27 05:30:09.912598+00,2026-07-27 05:31:54.022191+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
127,packet_loss,sentinel-catalogue-1,2026-07-27 06:29:55.183527+00,2026-07-27 06:31:36.813508+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
128,cpu_stress,sentinel-carts-1,2026-07-27 07:47:09.314946+00,2026-07-27 07:48:55.226422+00,"{""duration_seconds"": 90}",
129,cpu_stress,sentinel-shipping-1,2026-08-03 10:23:51.272523+00,2026-08-03 10:25:23.903917+00,"{""duration_seconds"": 90}",
130,cpu_stress,sentinel-carts-1,2026-08-03 11:48:35.940834+00,2026-08-03 11:50:21.883898+00,"{""duration_seconds"": 90}",
131,network_delay,sentinel-front-end-1,2026-08-03 17:35:55.071332+00,2026-08-03 17:37:30.330085+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
132,network_delay,sentinel-orders-1,2026-08-03 18:51:32.351143+00,2026-08-03 18:53:11.713688+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
133,container_kill,sentinel-payment-1,2026-08-03 20:22:47.880427+00,2026-08-03 20:23:07.805077+00,{},
134,network_delay,sentinel-catalogue-1,2026-08-03 21:47:41.123768+00,2026-08-03 21:49:16.510898+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
135,network_delay,sentinel-shipping-1,2026-08-03 23:51:33.273581+00,2026-08-03 23:53:11.509675+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
136,cpu_stress,sentinel-payment-1,2026-08-04 00:37:39.477875+00,2026-08-04 00:39:12.42936+00,"{""duration_seconds"": 90}",
137,network_delay,sentinel-shipping-1,2026-08-04 01:25:24.564095+00,2026-08-04 01:27:10.400602+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
138,packet_loss,sentinel-carts-1,2026-08-04 01:57:45.179661+00,2026-08-04 01:59:20.286416+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
139,packet_loss,sentinel-payment-1,2026-08-04 03:12:45.470148+00,2026-08-04 03:14:20.577767+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
140,cpu_stress,sentinel-catalogue-1,2026-08-04 04:41:01.852743+00,2026-08-04 04:43:10.670606+00,"{""duration_seconds"": 90}",
141,network_delay,sentinel-shipping-1,2026-08-04 06:10:47.181341+00,2026-08-04 06:12:22.622341+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
142,cpu_stress,sentinel-payment-1,2026-08-04 07:15:30.895952+00,2026-08-04 07:17:47.972113+00,"{""duration_seconds"": 90}",
143,cpu_stress,sentinel-front-end-1,2026-08-04 08:44:12.227631+00,2026-08-04 08:45:48.673881+00,"{""duration_seconds"": 90}",
144,cpu_stress,sentinel-shipping-1,2026-08-04 09:23:04.896209+00,2026-08-04 09:24:49.304762+00,"{""duration_seconds"": 90}",
145,packet_loss,sentinel-catalogue-1,2026-08-04 10:01:44.617333+00,2026-08-04 10:03:19.740203+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
146,cpu_stress,sentinel-front-end-1,2026-08-04 10:58:04.185613+00,2026-08-04 10:59:37.027252+00,"{""duration_seconds"": 90}",
147,network_delay,sentinel-carts-1,2026-08-04 11:04:23.379436+00,2026-08-04 11:05:58.435486+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
148,network_delay,sentinel-catalogue-1,2026-08-04 12:23:41.533922+00,2026-08-04 12:25:16.658901+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
149,network_delay,sentinel-catalogue-1,2026-08-04 13:40:46.866265+00,2026-08-04 13:42:21.986479+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
150,network_delay,sentinel-orders-1,2026-08-04 14:36:02.124781+00,2026-08-04 14:37:37.22315+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
151,cpu_stress,sentinel-shipping-1,2026-08-04 15:10:57.371668+00,2026-08-04 15:12:30.351944+00,"{""duration_seconds"": 90}",
153,cpu_stress,sentinel-carts-1,2026-08-04 16:46:03.870741+00,2026-08-04 16:47:39.877079+00,"{""duration_seconds"": 90}",
154,cpu_stress,sentinel-orders-1,2026-08-04 17:51:41.005343+00,2026-08-04 17:53:13.066255+00,"{""duration_seconds"": 90}",
155,cpu_stress,sentinel-payment-1,2026-08-04 18:48:14.137302+00,2026-08-04 18:49:45.021013+00,"{""duration_seconds"": 90}",
156,network_delay,sentinel-orders-1,2026-08-04 19:36:35.063834+00,2026-08-04 19:38:10.099199+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
157,network_delay,sentinel-shipping-1,2026-08-04 20:12:09.108392+00,2026-08-04 20:13:44.131391+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
158,cpu_stress,sentinel-carts-1,2026-08-04 20:49:19.141933+00,2026-08-04 20:50:51.041968+00,"{""duration_seconds"": 90}",
159,container_kill,sentinel-shipping-1,2026-08-04 21:46:05.995512+00,2026-08-04 21:46:17.757676+00,{},
160,packet_loss,sentinel-shipping-1,2026-08-04 22:17:11.75709+00,2026-08-04 22:18:46.836492+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
161,cpu_stress,sentinel-orders-1,2026-08-04 23:04:48.814229+00,2026-08-04 23:06:20.5072+00,"{""duration_seconds"": 90}",
162,packet_loss,sentinel-front-end-1,2026-08-04 23:45:31.526135+00,2026-08-04 23:47:06.572929+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
163,cpu_stress,sentinel-catalogue-1,2026-08-05 01:11:25.574221+00,2026-08-05 01:12:56.539633+00,"{""duration_seconds"": 90}",
164,network_delay,sentinel-front-end-1,2026-08-05 02:34:19.528716+00,2026-08-05 02:35:54.60843+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
165,packet_loss,sentinel-carts-1,2026-08-05 04:01:15.611053+00,2026-08-05 04:02:50.679786+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
166,container_kill,sentinel-shipping-1,2026-08-05 04:45:33.684617+00,2026-08-05 04:45:46.79898+00,{},
167,container_kill,sentinel-payment-1,2026-08-05 05:51:06.013921+00,2026-08-05 05:51:17.407688+00,{},
168,cpu_stress,sentinel-front-end-1,2026-08-05 06:44:40.550048+00,2026-08-05 06:46:13.32203+00,"{""duration_seconds"": 90}",
169,network_delay,sentinel-shipping-1,2026-08-05 08:08:02.498157+00,2026-08-05 08:09:37.582931+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
170,cpu_stress,sentinel-orders-1,2026-08-05 08:43:44.627331+00,2026-08-05 08:45:16.311992+00,"{""duration_seconds"": 90}",
171,container_kill,sentinel-payment-1,2026-08-05 10:09:10.370257+00,2026-08-05 10:09:23.206038+00,{},
172,cpu_stress,sentinel-catalogue-1,2026-08-05 10:53:49.347818+00,2026-08-05 10:55:20.626401+00,"{""duration_seconds"": 90}",
173,packet_loss,sentinel-catalogue-1,2026-08-05 12:18:16.8058+00,2026-08-05 12:19:51.955805+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
174,cpu_stress,sentinel-payment-1,2026-08-05 13:20:00.543735+00,2026-08-05 13:21:33.390966+00,"{""duration_seconds"": 90}",
175,container_kill,sentinel-front-end-1,2026-08-05 13:53:14.484233+00,2026-08-05 13:53:27.101914+00,{},
176,container_kill,sentinel-shipping-1,2026-08-05 14:24:32.18574+00,2026-08-05 14:24:45.001216+00,{},
177,packet_loss,sentinel-carts-1,2026-08-05 15:15:47.078445+00,2026-08-05 15:17:22.185118+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
178,container_kill,sentinel-shipping-1,2026-08-05 15:54:07.279743+00,2026-08-05 15:54:20.381975+00,{},
179,network_delay,sentinel-shipping-1,2026-08-05 16:28:59.457033+00,2026-08-05 16:30:34.635854+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
180,packet_loss,sentinel-carts-1,2026-08-05 17:26:13.893437+00,2026-08-05 17:27:49.196155+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
181,packet_loss,sentinel-front-end-1,2026-08-05 18:18:06.290733+00,2026-08-05 18:19:41.373095+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
182,container_kill,sentinel-orders-1,2026-08-05 19:07:39.460507+00,2026-08-05 19:07:51.978007+00,{},
183,network_delay,sentinel-shipping-1,2026-08-05 20:25:32.188227+00,2026-08-05 20:27:07.255438+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
184,network_delay,sentinel-catalogue-1,2026-08-05 21:21:59.310141+00,2026-08-05 21:23:34.360058+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
185,container_kill,sentinel-front-end-1,2026-08-05 22:28:36.300675+00,2026-08-05 22:28:48.307094+00,{},
186,packet_loss,sentinel-shipping-1,2026-08-05 23:20:15.313855+00,2026-08-05 23:21:50.383339+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
187,network_delay,sentinel-orders-1,2026-08-06 00:25:45.444204+00,2026-08-06 00:27:20.513162+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
188,packet_loss,sentinel-payment-1,2026-08-06 01:16:19.530506+00,2026-08-06 01:17:54.575267+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
189,network_delay,sentinel-catalogue-1,2026-08-06 02:21:24.913404+00,2026-08-06 02:22:59.948761+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
190,network_delay,sentinel-carts-1,2026-08-06 03:03:02.951531+00,2026-08-06 03:04:37.985669+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
191,container_kill,sentinel-catalogue-1,2026-08-06 04:07:16.020713+00,2026-08-06 04:07:26.780389+00,{},
192,cpu_stress,sentinel-catalogue-1,2026-08-06 04:47:09.801873+00,2026-08-06 04:48:40.438441+00,"{""duration_seconds"": 90}",
193,cpu_stress,sentinel-payment-1,2026-08-06 06:17:24.447933+00,2026-08-06 06:18:55.524545+00,"{""duration_seconds"": 90}",
194,container_kill,sentinel-payment-1,2026-08-06 07:14:49.542425+00,2026-08-06 07:15:00.282335+00,{},
195,packet_loss,sentinel-front-end-1,2026-08-06 08:02:55.301143+00,2026-08-06 08:04:30.340301+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
196,packet_loss,sentinel-carts-1,2026-08-06 09:10:25.370456+00,2026-08-06 09:12:00.406533+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
197,network_delay,sentinel-shipping-1,2026-08-06 10:12:20.805769+00,2026-08-06 10:13:55.861575+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
198,packet_loss,sentinel-carts-1,2026-08-06 11:02:13.914438+00,2026-08-06 11:03:48.997978+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
199,packet_loss,sentinel-front-end-1,2026-08-06 11:36:57.108708+00,2026-08-06 11:38:32.349927+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
200,network_delay,sentinel-carts-1,2026-08-06 12:27:02.681892+00,2026-08-06 12:28:37.785961+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
201,container_kill,sentinel-shipping-1,2026-08-06 13:36:48.882384+00,2026-08-06 13:37:01.354128+00,{},
202,packet_loss,sentinel-front-end-1,2026-08-06 14:53:43.393491+00,2026-08-06 14:55:18.502618+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
203,packet_loss,sentinel-front-end-1,2026-08-06 16:20:43.044133+00,2026-08-06 16:22:18.125423+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
204,container_kill,sentinel-orders-1,2026-08-06 17:17:43.277166+00,2026-08-06 17:17:55.510432+00,{},
205,cpu_stress,sentinel-catalogue-1,2026-08-06 18:42:56.665338+00,2026-08-06 18:44:29.925413+00,"{""duration_seconds"": 90}",
206,cpu_stress,sentinel-payment-1,2026-08-06 20:05:33.04676+00,2026-08-06 20:07:04.164569+00,"{""duration_seconds"": 90}",
207,packet_loss,sentinel-catalogue-1,2026-08-06 21:22:18.465234+00,2026-08-06 21:23:53.513378+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
208,cpu_stress,sentinel-front-end-1,2026-08-06 22:50:51.435466+00,2026-08-06 22:52:23.254839+00,"{""duration_seconds"": 90}",
209,container_kill,sentinel-front-end-1,2026-08-06 23:56:20.282795+00,2026-08-06 23:56:32.133813+00,{},
210,packet_loss,sentinel-payment-1,2026-08-07 00:34:44.16538+00,2026-08-07 00:36:19.238507+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
211,container_kill,sentinel-catalogue-1,2026-08-07 01:45:33.287365+00,2026-08-07 01:45:44.097704+00,{},
270,container_kill,sentinel-shipping-1,2026-08-09 22:20:11.383499+00,2026-08-09 22:20:24.063395+00,{},
271,container_kill,sentinel-catalogue-1,2026-08-09 23:49:56.596108+00,2026-08-09 23:50:08.066738+00,{},
212,packet_loss,sentinel-shipping-1,2026-08-07 02:37:25.121182+00,2026-08-07 02:39:00.178469+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
213,container_kill,sentinel-carts-1,2026-08-07 03:25:48.200831+00,2026-08-07 03:26:00.177319+00,{},
214,packet_loss,sentinel-payment-1,2026-08-07 04:47:09.161109+00,2026-08-07 04:48:44.323231+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
215,cpu_stress,sentinel-orders-1,2026-08-07 05:54:15.335529+00,2026-08-07 05:55:47.29903+00,"{""duration_seconds"": 90}",
216,cpu_stress,sentinel-carts-1,2026-08-07 07:07:58.308487+00,2026-08-07 07:09:30.327473+00,"{""duration_seconds"": 90}",
217,packet_loss,sentinel-catalogue-1,2026-08-07 08:21:13.372232+00,2026-08-07 08:22:48.476411+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
218,container_kill,sentinel-shipping-1,2026-08-07 09:20:47.623572+00,2026-08-07 09:21:03.043454+00,{},
219,network_delay,sentinel-front-end-1,2026-08-07 10:19:01.443405+00,2026-08-07 10:20:36.48258+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
220,packet_loss,sentinel-catalogue-1,2026-08-07 11:03:06.481678+00,2026-08-07 11:04:41.524159+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
